,Athlete,NOC,Medal,Edition
120,"NIELSEN, Holger",DEN,Bronze,1896
121,"PHRANGOUDIS, Joannis",GRE,Gold,1896
122,"ORPHANIDIS, Georgios",GRE,Silver,1896
123,"PHRANGOUDIS, Joannis",GRE,Bronze,1896
124,"PAINE, Sumner",USA,Gold,1896
125,"NIELSEN, Holger",DEN,Silver,1896
126,"TRIKUPIS, Nicolaos",GRE,Bronze,1896
127,"KARASEVDAS, Pantelis",GRE,Gold,1896
128,"PAVLIDIS, Pavlos",GRE,Silver,1896
129,"JENSEN, Viggo",DEN,Bronze,1896
130,"ORPHANIDIS, Georgios",GRE,Gold,1896
131,"PHRANGOUDIS, Joannis",GRE,Silver,1896
132,"FLACK, Edwin",ZZX,Bronze,1896
133,"ROBERTSON, George Stuart",ZZX,Bronze,1896
134,"BOLAND, John",ZZX,Gold,1896
135,"TRAUN, Friedrich",ZZX,Gold,1896
136,"KASDAGLIS, Dionysios",ZZX,Silver,1896
137,"PETROKOKKINOS, Demetrios",ZZX,Silver,1896
138,"PASPATIS, Konstantinos",GRE,Bronze,1896
139,"TAPAVICZA, Momcsillo",HUN,Bronze,1896
140,"BOLAND, John",GBR,Gold,1896
141,"KASDAGLIS, Dionysios",GRE,Silver,1896
142,"NIKOLOPOULOS, Alexandros",GRE,Bronze,1896
143,"ELLIOTT, Launceston",GBR,Gold,1896
144,"JENSEN, Viggo",DEN,Silver,1896
145,"VERSIS, Sotirios",GRE,Bronze,1896
146,"JENSEN, Viggo",DEN,Gold,1896
147,"ELLIOTT, Launceston",GBR,Silver,1896
148,"CHRISTOPOULOS, Stephanos",GRE,Bronze,1896
149,"SCHUMANN, Carl",GER,Gold,1896
150,"TSITAS, Georgios",GRE,Silver,1896
151,"HALMAY, Zoltan",HUN,Bronze,1900
152,"JARVIS, John Arthur",GBR,Gold,1900
153,"WAHLE, Otto",AUT,Silver,1900
154,"DROST, Johannes",NED,Bronze,1900
155,"HOPPENBERG, Ernst",GER,Gold,1900
156,"RUBERL, Karl",AUT,Silver,1900
157,"RUBERL, Karl",AUT,Bronze,1900
158,"LANE, Frederick C.V.",AUS,Gold,1900
159,"HALMAY, Zoltan",HUN,Silver,1900
160,"KEMP, Peter",GBR,Bronze,1900
161,"LANE, Frederick C.V.",AUS,Gold,1900
162,"WAHLE, Otto",AUT,Silver,1900
163,HOUBEN,FRA,Bronze,1900
164,"LEUILLIEUX, Jean",FRA,Bronze,1900
165,"MARTIN, Louis",FRA,Bronze,1900
166,"MERCHEZ, Désiré",FRA,Bronze,1900
167,TARTARA,FRA,Bronze,1900
168,"FREY, Julius",GER,Gold,1900
169,"HAINLE, Max",GER,Gold,1900
170,"HOPPENBERG, Ernst",GER,Gold,1900
171,"SCHÖNE, Max",GER,Gold,1900
172,"VON PETERSDORFF, Herbert",GER,Gold,1900
173,BERTRAND,FRA,Silver,1900
174,CADET,FRA,Silver,1900
175,"HOCHEPIED, Maurice",FRA,Silver,1900
176,"HOCHEPIED, Victor",FRA,Silver,1900
177,VERBECKE,FRA,Silver,1900
178,"MARTIN, Louis",FRA,Bronze,1900
179,"JARVIS, John Arthur",GBR,Gold,1900
180,"HALMAY, Zoltan",HUN,Silver,1900
181,"LYKKEBERG, Peder",DEN,Bronze,1900
182,"DE VENDEVILLE, Charles",FRA,Gold,1900
183,"SIX, André",FRA,Silver,1900
184,"BURGESS, Thomas",FRA,Bronze,1900
185,COULON,FRA,Bronze,1900
186,"DECUYPER, Alphonse",FRA,Bronze,1900
187,DEVENOT,FRA,Bronze,1900
188,FARDELLE,FRA,Bronze,1900
189,FAVIER,FRA,Bronze,1900
190,"LAUFRAY, Louis",FRA,Bronze,1900
191,LERICHE,FRA,Bronze,1900
192,"MARTIN, Louis",FRA,Bronze,1900
193,"MERCHEZ, Désiré",FRA,Bronze,1900
194,"PESLIER, Henri",FRA,Bronze,1900
195,PESLOY,FRA,Bronze,1900
196,"TREFFEL, Charles",FRA,Bronze,1900
