,Athlete,NOC,Medal,Edition
8533,"VUKAS, Bernard",YUG,Silver,1952
8534,"ZEBEC, Branko",YUG,Silver,1952
8535,"KORONDI, Margit",HUN,Bronze,1952
8536,"BOCHAROVA, Nina",URS,Gold,1952
8537,"GOROKHOVSKAYA, Mariya",URS,Silver,1952
8538,"THORESSON, William",SWE,Gold,1952
8539,"JOKIEL, Jerzy",POL,Silver,1952
8540,"UESAKO, Tadao",JPN,Silver,1952
8541,"KORONDI, Margit",HUN,Bronze,1952
8542,"KELETI, Agnes",HUN,Gold,1952
8543,"GOROKHOVSKAYA, Mariya",URS,Silver,1952
8544,"GÜNTHARD, Jakob (Jack)",SUI,Gold,1952
8545,"SCHWARZMANN, Karl-Alfred",GER,Silver,1952
8546,"STALDER, Josef",SUI,Silver,1952
8547,"STALDER, Josef",SUI,Bronze,1952
8548,"CHUKARIN, Viktor Ivanovich",URS,Gold,1952
8549,"SHAGINYAN, Grant",URS,Silver,1952
8550,"KORONDI, Margit",HUN,Bronze,1952
8551,"GOROKHOVSKAYA, Mariya",URS,Gold,1952
8552,"BOCHAROVA, Nina",URS,Silver,1952
8553,"STALDER, Josef",SUI,Bronze,1952
8554,"EUGSTER, Hans",SUI,Gold,1952
8555,"CHUKARIN, Viktor Ivanovich",URS,Silver,1952
8556,"CHUKARIN, Viktor Ivanovich",URS,Gold,1952
8557,"KOROLKOV, Yevgeni",URS,Silver,1952
8558,"SHAGINYAN, Grant",URS,Silver,1952
8559,"EUGSTER, Hans",SUI,Bronze,1952
8560,"LEONKIN, Dmitri",URS,Bronze,1952
8561,"SHAGINYAN, Grant",URS,Gold,1952
8562,"CHUKARIN, Viktor Ivanovich",URS,Silver,1952
8563,"AALTONEN, Paavo Johannes",FIN,Bronze,1952
8564,"LAITINEN, Kalevi Johannes",FIN,Bronze,1952
8565,"LAPPALAINEN, Onni Armas",FIN,Bronze,1952
8566,"LEMPINEN, Kaino Johannes",FIN,Bronze,1952
8567,"LINDFORS, Berndt Torbjörn",FIN,Bronze,1952
8568,"ROVE, Olavi Antero",FIN,Bronze,1952
8569,"SAVOLAINEN, Heikki",FIN,Bronze,1952
8570,"VISKARI, Kalevi",FIN,Bronze,1952
8571,"BELYAKOV, Vladimir",URS,Gold,1952
8572,"BERDIEV, Iosif",URS,Gold,1952
8573,"CHUKARIN, Viktor Ivanovich",URS,Gold,1952
8574,"KOROLKOV, Yevgeni",URS,Gold,1952
8575,"LEONKIN, Dmitri",URS,Gold,1952
8576,"MURATOV, Valentin",URS,Gold,1952
8577,"PERELMAN, Mikhail",URS,Gold,1952
8578,"SHAGINYAN, Grant",URS,Gold,1952
8579,"EUGSTER, Hans",SUI,Silver,1952
8580,"FIVIAN, Ernst",SUI,Silver,1952
8581,"GEBENDINGER, Ernst",SUI,Silver,1952
8582,"GÜNTHARD, Jakob (Jack)",SUI,Silver,1952
8583,"SCHWARZENTRUBER, Johannes (Hans)",SUI,Silver,1952
8584,"STALDER, Josef",SUI,Silver,1952
8585,"THALMANN, Melchior",SUI,Silver,1952
8586,"TSCHABOLD, Jean Louis",SUI,Silver,1952
8587,"BOBKOVA-MAREJKOVA, Hana",TCH,Bronze,1952
8588,"CHADIMOVA, Alena",TCH,Bronze,1952
8589,"RABASOVA, Jana",TCH,Bronze,1952
8590,"REICHOVA, Alena",TCH,Bronze,1952
8591,"SINOVA-MATOUSKOVA, Matylda",TCH,Bronze,1952
8592,"SRNCOVA, Bozena",TCH,Bronze,1952
8593,"VANCUROVA-DRAZDIKOVA, Vera",TCH,Bronze,1952
8594,"VECHTOVA-BOSAKOVA, Eva",TCH,Bronze,1952
8595,"BOCHAROVA, Nina",URS,Gold,1952
8596,"DANILOVA, Pelageya",URS,Gold,1952
8597,"DZUGELI, Medeya",URS,Gold,1952
8598,"GOROKHOVSKAYA, Mariya",URS,Gold,1952
8599,"KALINCHUK, Ekaterina",URS,Gold,1952
8600,"MINAICHEVA, Galina",URS,Gold,1952
8601,"SHAMRAI, Galina",URS,Gold,1952
8602,"URBANOVICH, Galina",URS,Gold,1952
8603,"BODO-MOLNAR, Andrea",HUN,Silver,1952
8604,"DARUHAZI, Laszlone",HUN,Silver,1952
8605,"GULYAS, Karolyne",HUN,Silver,1952
8606,"KELETI, Agnes",HUN,Silver,1952
8607,"KORONDI, Margit",HUN,Silver,1952
8608,"PERENYI, Karolyne",HUN,Silver,1952
8609,"TASS LEMHENYI, Olga",HUN,Silver,1952
8610,"ZALAI, Laszlone",HUN,Silver,1952
8611,"BODO-MOLNAR, Andrea",HUN,Bronze,1952
8612,"DARUHAZI, Laszlone",HUN,Bronze,1952
8613,"GULYAS, Karolyne",HUN,Bronze,1952
8614,"KELETI, Agnes",HUN,Bronze,1952
8615,"KORONDI, Margit",HUN,Bronze,1952
8616,"PERENYI, Karolyne",HUN,Bronze,1952
8617,"TASS LEMHENYI, Olga",HUN,Bronze,1952
8618,"ZALAI, Laszlone",HUN,Bronze,1952
8619,"BERGGREN, Evy",SWE,Gold,1952
8620,"BLOMBERG, Vanja",SWE,Gold,1952
8621,"COLLING-PETTERSSON, Ann-Sofi",SWE,Gold,1952
8622,"LINDBERG, Karin",SWE,Gold,1952
8623,"NORDIN, Hjördis",SWE,Gold,1952
8624,"PETTERSSON, Göta",SWE,Gold,1952
8625,"RÖRING, Gun",SWE,Gold,1952
8626,"SANDAHL, Ingrid",SWE,Gold,1952
8627,"BOCHAROVA, Nina",URS,Silver,1952
8628,"DANILOVA, Pelageya",URS,Silver,1952
8629,"DZUGELI, Medeya",URS,Silver,1952
8630,"GOROKHOVSKAYA, Mariya",URS,Silver,1952
8631,"KALINCHUK, Ekaterina",URS,Silver,1952
8632,"MINAICHEVA, Galina",URS,Silver,1952
8633,"SHAMRAI, Galina",URS,Silver,1952
8634,"URBANOVICH, Galina",URS,Silver,1952
8635,"KELETI, Agnes",HUN,Bronze,1952
8636,"KORONDI, Margit",HUN,Gold,1952
8637,"GOROKHOVSKAYA, Mariya",URS,Silver,1952
8638,"ONO, Takashi",JPN,Bronze,1952
8639,"UESAKO, Tadao",JPN,Bronze,1952
8640,"CHUKARIN, Viktor Ivanovich",URS,Gold,1952
8641,"TAKEMOTO, Masao",JPN,Silver,1952
8642,"MINAICHEVA, Galina",URS,Bronze,1952
8643,"KALINCHUK, Ekaterina",URS,Gold,1952
8644,"GOROKHOVSKAYA, Mariya",URS,Silver,1952
8645,"CARNILL, Denys John",GBR,Bronze,1952
8646,"COCKETT, John Ashley",GBR,Bronze,1952
8647,"CONROY, John Valentine",GBR,Bronze,1952
8648,"DADDS, Graham Bassett",GBR,Bronze,1952
8649,"DAY, Derek Malcolm",GBR,Bronze,1952
8650,"EAGAN, Dennis Michael Royal",GBR,Bronze,1952
8651,"FLETCHER, Robin Anthony",GBR,Bronze,1952
8652,"MIDGLEY, Roger Keith",GBR,Bronze,1952
8653,"NORRIS, Richard Owen Alfred",GBR,Bronze,1952
8654,"NUGENT, Nigel Algernon D.",GBR,Bronze,1952
8655,"NUNN, Anthony Stuart",GBR,Bronze,1952
8656,"ROBINSON, Anthony John Backh.",GBR,Bronze,1952
8657,"TAYLOR, John Paskin",GBR,Bronze,1952
8658,"CLAUDIUS, Leslie Walter",IND,Gold,1952
8659,"DALUZ, Meldric St.Clair",IND,Gold,1952
8660,"DATT, Keshava",IND,Gold,1952
8661,"DESMUTHU, Chinadorai",IND,Gold,1952
8662,"FRANCIS, Ranganandhan",IND,Gold,1952
8663,"LAL SHARMA, Raghbir",IND,Gold,1952
8664,"PERUMAL, Govind",IND,Gold,1952
8665,"RAJAGOPAL, Muniswamy",IND,Gold,1952
8666,"SINGH DOSANJH, Balbir",IND,Gold,1952
8667,"SINGH GENTLE, Randhir",IND,Gold,1952
8668,"SINGH KULLAR, Udham",IND,Gold,1952
8669,"SINGH, Dharam",IND,Gold,1952
8670,"SINGH, Grahanandan Nandy",IND,Gold,1952
8671,"SINGH, Kunwar Digvijai",IND,Gold,1952
8672,"ANCION, Julius Theodoor",NED,Silver,1952
8673,"BOERSTRA, Andries Cornelis Dirk",NED,Silver,1952
8674,"DERCKX, Henri Jean Joseph",NED,Silver,1952
8675,"DRIJVER, Johan Frederik",NED,Silver,1952
8676,"ESSER, Rius Theo",NED,Silver,1952
8677,"KRUIZE, Jan Hendrik",NED,Silver,1952
8678,"LOGGERE, Hermanus Pieter",NED,Silver,1952
8679,"MULDER, Laurentz Siebrand",NED,Silver,1952
8680,"TIEL, Edouard Herbert",NED,Silver,1952
8681,"VAN HEEL, Willem",NED,Silver,1952
8682,"WERY, Leonard Hugo",NED,Silver,1952
8683,"SZONDI, Istvan",HUN,Bronze,1952
8684,"HALL, Lars",SWE,Gold,1952
8685,"BENEDEK, Gabor",HUN,Silver,1952
8686,"MANNONEN, Olavi Aleksanteri",FIN,Bronze,1952
8687,"ROKKA, Olavi Antero",FIN,Bronze,1952
8688,"VILKKO, Lauri Johannes",FIN,Bronze,1952
8689,"BENEDEK, Gabor",HUN,Gold,1952
8690,"KOVACSI, Aladar",HUN,Gold,1952
8691,"SZONDI, Istvan",HUN,Gold,1952
8692,"EGNELL, Claes",SWE,Silver,1952
8693,"HALL, Lars",SWE,Silver,1952
8694,"LINDQVIST, Thorsten",SWE,Silver,1952
8695,"KALT, Hans",SUI,Bronze,1952
8696,"SCHMID, Kurt",SUI,Bronze,1952
8697,"LOGG, Charles Paul Jr.",USA,Gold,1952
8698,"PRICE, Thomas Steele",USA,Gold,1952
8699,"BAETENS, Robert Frederik",BEL,Silver,1952
8700,"KNUYSEN, Michel Jules L.",BEL,Silver,1952
8701,"RODRIGUEZ, Juan A.",URU,Bronze,1952
8702,"SEIJAS, Miguel",URU,Bronze,1952
8703,"CAPPOZZO, Tranquilo",ARG,Gold,1952
8704,"GUERRERO, Eduardo",ARG,Gold,1952
8705,"EMCHUK, Igor",URS,Silver,1952
8706,"ZHILIN, Georgi",URS,Silver,1952
8707,"ANDERSON, David Rollo",AUS,Bronze,1952
8708,"CAYZER, Phillip Arthur",AUS,Bronze,1952
8709,"CHAPMAN, Ernest William",AUS,Bronze,1952
8710,"CHESSELL, Thomas Edmund",AUS,Bronze,1952
8711,"FINLAY, Merwyn David",AUS,Bronze,1952
8712,"GREENWOOD, Nimrod",AUS,Bronze,1952
8713,"PAIN, Edward Oscar",AUS,Bronze,1952
8714,"TINNING, Robert Noel",AUS,Bronze,1952
8715,"WILLIAMSON, Geoffrey",AUS,Bronze,1952
8716,"DETWEILER, Robert Milan",USA,Gold,1952
8717,"DUNBAR, James Ralph",USA,Gold,1952
8718,"FIELDS, William Beauford",USA,Gold,1952
8719,"FRYE, Wayne Thomas",USA,Gold,1952
8720,"MANNING, Charles David",USA,Gold,1952
8721,"MURPHY, Richard Frederick",USA,Gold,1952
8722,"PROCTOR, Henry Arthur",USA,Gold,1952
8723,"SHAKESPEARE, Franklin Bradford",USA,Gold,1952
8724,"STEVENS, Edward Glenister",USA,Gold,1952
8725,"AMIRAGOV, Slava",URS,Silver,1952
8726,"BORISOV, Igor",URS,Silver,1952
8727,"BRAGO, Yevgeni",URS,Silver,1952
8728,"GISSEN, Leonid",URS,Silver,1952
8729,"KOMAROV, Aleksei",URS,Silver,1952
8730,"KRYUKOV, Vladimir",URS,Silver,1952
8731,"POLYAKOV, Igor",URS,Silver,1952
8732,"RODIMUSHKIN, Vladimir",URS,Silver,1952
8733,"SAMSONOV, Yevgeni",URS,Silver,1952
8734,"LOMMI, Oiva",FIN,Bronze,1952
8735,"LOMMI, Veikko Kristian",FIN,Bronze,1952
8736,"NEVALAINEN, Lauri Armas",FIN,Bronze,1952
8737,"WAHLSTEN, Kauko Wilhelm",FIN,Bronze,1952
8738,"BONACIC, Duje",YUG,Gold,1952
8739,"SEGVIC, Petar",YUG,Gold,1952
8740,"TROJANOVIC, Mate",YUG,Gold,1952
8741,"VALENTA, Velimir",YUG,Gold,1952
8742,"BLONDIAUX, Pierre Auguste",FRA,Silver,1952
8743,"BOUISSOU, Marc Emile",FRA,Silver,1952
8744,"GAUTIER, Roger",FRA,Silver,1952
8745,"GUISSART, Jacques Jean",FRA,Silver,1952
8746,"LEANDERSON, Matthew Fillip",USA,Bronze,1952
8747,"LOVESTED, Carl Martin",USA,Bronze,1952
8748,"ROSSI, Albert",USA,Bronze,1952
8749,"ULBRICKSON, Alvin Edmund",USA,Bronze,1952
8750,"WAHLSTROM, Richard Wayne",USA,Bronze,1952
8751,"HAVLIS, Jiri",TCH,Gold,1952
8752,"JINDRA, Jan",TCH,Gold,1952
8753,"KORANDA, Miroslav",TCH,Gold,1952
8754,"LUSK, Stanislav",TCH,Gold,1952
8755,"MEJTA SR., Karel",TCH,Gold,1952
8756,"BIANCHI, Enrico",SUI,Silver,1952
8757,"ESS, Emile",SUI,Silver,1952
8758,"LEISER, Walter",SUI,Silver,1952
8759,"SCHELLER, Heinrich",SUI,Silver,1952
8760,"WEIDMANN, Karl",SUI,Silver,1952
8761,"FRANTZEN, Jörgen Nagel",DEN,Bronze,1952
8762,"PETERSEN, Svend Ove",DEN,Bronze,1952
8763,"SVENDSEN, Poul Verner",DEN,Bronze,1952
8764,"MALIVOIRE, Bernard Robert",FRA,Gold,1952
8765,"MERCIER, Gaston Antoine",FRA,Gold,1952
8766,"SALLES, Raymond Julien",FRA,Gold,1952
8767,"HEINHOLD, Helmut",GER,Silver,1952
8768,"MANCHEN, Heinz Joachim",GER,Silver,1952
8769,"NOLL, Helmut",GER,Silver,1952
8770,"KOCERKA, Teodor",POL,Bronze,1952
8771,"TYUKALOV, Yuri",URS,Gold,1952
8772,"WOOD, Merwyn Thomas",AUS,Silver,1952
8773,"OHLSON, Carl-Erik",SWE,Bronze,1952
8774,"WASSEN, Folke",SWE,Bronze,1952
8775,"WASSEN, Magnus",SWE,Bronze,1952
8776,"CHANCE, Britton Jr.",USA,Gold,1952
8777,"SCHOETTLE, Michael Beaver",USA,Gold,1952
8778,"WHITE, Edgar Pardee Earle",USA,Gold,1952
8779,"WHITE, Sumner Wheeler III",USA,Gold,1952
8780,"FALKUM-HANSEN, Börre",NOR,Silver,1952
8781,"LUNDE, Peder Eugen",NOR,Silver,1952
8782,"LUNDE, Vibeke",NOR,Silver,1952
8783,"JANSSON, Ragnar Rafael",FIN,Bronze,1952
8784,"KONTO, Jonas Leo Adolf",FIN,Bronze,1952
8785,"SJÖBERG, Paul Leonard",FIN,Bronze,1952
8786,"TURKKA, Rolf Fredrik",FIN,Bronze,1952
8787,"WESTERLUND, Ernst Theodor",FIN,Bronze,1952
8788,"ENDT, Everard C.",USA,Gold,1952
8789,"MORGAN, John Adams",USA,Gold,1952
8790,"RIDDER, Eric",USA,Gold,1952
8791,"ROOSEVELT, Julius Kean",USA,Gold,1952
8792,"WHITON, Herman Frasch",USA,Gold,1952
8793,"ARNEBERG, Tor Birger",NOR,Silver,1952
8794,"FERNER, Finn Christian",NOR,Silver,1952
8795,"FERNER, Johan Martin",NOR,Silver,1952
8796,"HEIBERG, Erik Oscar",NOR,Silver,1952
8797,"MORTENSEN, Carl Lauritz",NOR,Silver,1952
8798,"WHITON, Emelyn Thatcher Leonard",USA,Gold,1952
8799,"NATUSCH, Erich Friedrich Wilhelm",GER,Bronze,1952
8800,"NOWKA, Georg",GER,Bronze,1952
8801,"THOMSEN, Theodor",GER,Bronze,1952
8802,"BARFOD, Haakon",NOR,Gold,1952
8803,"LIE, Sigve",NOR,Gold,1952
8804,"THORVALDSEN, Thor",NOR,Gold,1952
8805,"ALMKVIST, Erland",SWE,Silver,1952
8806,"BOLDT-CHRISTMAS, Sidney",SWE,Silver,1952
8807,"GEDDA, Per",SWE,Silver,1952
8808,"SARBY, Rickard",SWE,Bronze,1952
8809,"ELVSTROM, Paul",DEN,Gold,1952
8810,"CURREY, Charles Norman",GBR,Silver,1952
8811,"ANDRADE, Francisco Rebello De",POR,Bronze,1952
8812,"FIUZA, Joaquim Mascarenhas De M.",POR,Bronze,1952
8813,"RODE, Nicolo",ITA,Gold,1952
8814,"STRAULINO, Agostino",ITA,Gold,1952
8815,"PRICE, John Wesley",USA,Silver,1952
8816,"REID, John S.",USA,Silver,1952
8817,"MÄKI, Tauno Vilhelmi",FIN,Bronze,1952
8818,"LARSEN, John Harry",NOR,Gold,1952
8819,"SKÖLDBERG, Olof",SWE,Silver,1952
8820,"LICHIARDOPOL, Gheorghe",ROU,Bronze,1952
8821,"TAKACS, Karoly",HUN,Gold,1952
8822,"KUN, Szilard",HUN,Silver,1952
8823,"VAINSHTEIN, Lev",URS,Bronze,1952
8824,"BOGDANOV, Anatoli",URS,Gold,1952
8825,"BÜRCHLER-MESSER, Robert",SUI,Silver,1952
8826,"BALOGH, Ambrus",HUN,Bronze,1952
8827,"BENNER, Huelet Leo",USA,Gold,1952
8828,"LEON GOZALO, Angel",ESP,Silver,1952
8829,"ANDREEV, Boris",URS,Bronze,1952
8830,"KONGSHAUG, Erling Asbjörn",NOR,Gold,1952
8831,"YLÖNEN, Vilho Ilmari",FIN,Silver,1952
8832,"JACKSON, Arthur Charles",USA,Bronze,1952
8833,"SIRBU, Iosif",ROU,Gold,1952
8834,"ANDREEV, Boris",URS,Silver,1952
8835,"LILJEDAHL, Hans",SWE,Bronze,1952
8836,"GENEREUX, George Patrick",CAN,Gold,1952
8837,"HOLMQVIST, Knut",SWE,Silver,1952
8838,"MIRZAI, Ali",IRI,Bronze,1952
8839,"UDODOV, Ivan",URS,Gold,1952
8840,"NAMDJOU, Mahmoud",IRI,Silver,1952
8841,"SELVETTI, Humberto",ARG,Bronze,1952
8842,"DAVIS, John Henry Jr.",USA,Gold,1952
8843,"BRADFORD, James Edward",USA,Silver,1952
8844,"WILKES, Rodney Adolphus",TRI,Bronze,1952
8845,"CHIMISHKYAN, Rafael",URS,Gold,1952
8846,"SAKSONOV, Nikolai",URS,Silver,1952
8847,"BARBERIS, Verdi",AUS,Bronze,1952
8848,"KONO, Thomas Tamio",USA,Gold,1952
8849,"LOPATIN, Yevgeni",URS,Silver,1952
8850,"KIM, Sung-Jip",KOR,Bronze,1952
8851,"GEORGE, Peter T.",USA,Gold,1952
8852,"GRATTON, Gerald A.",CAN,Silver,1952
8853,"VOROBYEV, Arkadi",URS,Bronze,1952
8854,"LOMAKIN, Trofim",URS,Gold,1952
8855,"STANCZYK, Stanley Anthony",USA,Silver,1952
8856,"KILGOUR, Lennox",TRI,Bronze,1952
8857,"SCHEMANSKY, Norbert",USA,Gold,1952
8858,"NOVAK, Grigori",URS,Silver,1952
8859,"MOLLAGHASSEMI, Mahmoud",IRI,Bronze,1952
8860,"GEMICI, Hasan",TUR,Gold,1952
8861,"KITANO, Yushi",JPN,Silver,1952
8862,"RICHMOND, Kenneth Alan",GBR,Bronze,1952
8863,"MEKOKISHVILI, Arsen",URS,Gold,1952
8864,"ANTONSSON, Bertil",SWE,Silver,1952
8865,"JADAV, Kha-Shaba Digvijai",IND,Bronze,1952
8866,"ISHII, Shohashi",JPN,Gold,1952
8867,"MAMEDBEKOV, Rashid",URS,Silver,1952
8868,"HENSON, Josiah",USA,Bronze,1952
8869,"SIT, Bayram",TUR,Gold,1952
8870,"GUIVEGTCHI, Nasser",IRI,Silver,1952
8871,"TOVFIGHE, Djahanbakte",IRI,Bronze,1952
8872,"ANDERBERG, Olle",SWE,Gold,1952
8873,"EVANS, Jay Thomas",USA,Silver,1952
8874,"MODJTABAVI, Abdollah",IRI,Bronze,1952
8875,"SMITH, William Thomas",USA,Gold,1952
8876,"BERLIN, Per Gunnar",SWE,Silver,1952
8877,"GURICS, György",HUN,Bronze,1952
8878,"TSIMAKURIDZE, David",URS,Gold,1952
8879,"TAKHTI, Gholam Reza",IRI,Silver,1952
8880,"ATAN, Adil",TUR,Bronze,1952
8881,"PALM, Viking",SWE,Gold,1952
8882,"WITTENBERG, Henry",USA,Silver,1952
8883,"HONKALA, Leo Ilmo",FIN,Bronze,1952
8884,"GUREVICH, Boris",URS,Gold,1952
8885,"FABRA, Ignazio",ITA,Silver,1952
8886,"KOVANEN, Tauno Into",FIN,Bronze,1952
8887,"KOTKAS, Johannes",URS,Gold,1952
8888,"RUZICKA, Josef",TCH,Silver,1952
8889,"TERYAN, Artem",URS,Bronze,1952
8890,"HODOS, Imre",HUN,Gold,1952
8891,"CHIHAB, Zakaria",LIB,Silver,1952
8892,"RASHED, Abdel Aal Ahmed",EGY,Bronze,1952
8893,"PUNKIN, Yakov",URS,Gold,1952
8894,"POLYAK, Imre",HUN,Silver,1952
8895,"ATANASOV, Mikulas",TCH,Bronze,1952
8896,"SAFIN, Chasame",URS,Gold,1952
8897,"FREIJ, Gustav",SWE,Silver,1952
8898,"TAHA, Khalil",LIB,Bronze,1952
8899,"SZILVASI, Miklos",HUN,Gold,1952
8900,"ANDERSSON, Gösta",SWE,Silver,1952
8901,"BELOV, Nikolai",URS,Bronze,1952
8902,"GRÖNBERG, Axel",SWE,Gold,1952
8903,"RAUHALA, Kalervo Juhani",FIN,Silver,1952
8904,"NILSSON, Karl-Erik",SWE,Bronze,1952
8905,"GRÖNDAHL, Kelpo Olavi",FIN,Gold,1952
8906,"CHIKHLADZE, Shalva",URS,Silver,1952
8907,"CONNER, Richard Carroll",USA,Bronze,1956
8908,"CAPILLA PEREZ, Joaquin",MEX,Gold,1956
8909,"TOBIAN, Gary Milburn",USA,Silver,1956
8910,"MYERS-POPE, Paula Jean",USA,Bronze,1956
8911,"MCCORMICK, Patricia",USA,Gold,1956
8912,"STOVER-IRWIN, Juno Roslays",USA,Silver,1956
8913,"CAPILLA PEREZ, Joaquin",MEX,Bronze,1956
8914,"CLOTWORTHY, Robert Lynn",USA,Gold,1956
8915,"HARPER, Donald De Wayne",USA,Silver,1956
8916,"MAC DONALD, Irene Margaret",CAN,Bronze,1956
8917,"MCCORMICK, Patricia",USA,Gold,1956
8918,"STUNYO, Jeanne Georgetta",USA,Silver,1956
8919,"MCKINNEY, Frank Edward Jr.",USA,Bronze,1956
8920,"THEILE, David Egmont",AUS,Gold,1956
8921,"MONCKTON, John James",AUS,Silver,1956
8922,"EDWARDS, Margaret",GBR,Bronze,1956
8923,"GRINHAM, Judith Brenda",GBR,Gold,1956
8924,"CONE, Carin Alice",USA,Silver,1956
8925,"SEARS, Mary Jane",USA,Bronze,1956
8926,"MANN, Shelley Isabel",USA,Gold,1956
8927,"RAMEY, Nancy Jane",USA,Silver,1956
8928,"CHAPMAN, Gary",AUS,Bronze,1956
8929,"HENRICKS, Jon Malcolm",AUS,Gold,1956
8930,"DEVITT, John",AUS,Silver,1956
8931,"LEECH, Faith Yvonne",AUS,Bronze,1956
8932,"FRASER, Dawn",AUS,Gold,1956
8933,"CRAPP, Lorraine Joyce",AUS,Silver,1956
8934,"BREEN, George Thomas",USA,Bronze,1956
8935,"ROSE, Murray",AUS,Gold,1956
8936,"YAMANAKA, Tsuyoshi",JPN,Silver,1956
8937,"YUNICHEV, Kharis",URS,Bronze,1956
8938,"FURUKAWA, Masaru",JPN,Gold,1956
8939,"YOSHIMURA, Masahiro",JPN,Silver,1956
8940,"TEN ELSEN, Eva-Maria",EUA,Bronze,1956
8941,"HAPPE-KREY, Ursula",EUA,Gold,1956
8942,"SZEKELY, Eva",HUN,Silver,1956
8943,"TUMPEK, György",HUN,Bronze,1956
8944,"YORZYK, William Albert Jr.",USA,Gold,1956
8945,"ISHIMOTO, Takashi",JPN,Silver,1956
8946,"BREEN, George Thomas",USA,Bronze,1956
8947,"ROSE, Murray",AUS,Gold,1956
8948,"YAMANAKA, Tsuyoshi",JPN,Silver,1956
8949,"RUUSKA, Sylvia Eliina",USA,Bronze,1956
8950,"CRAPP, Lorraine Joyce",AUS,Gold,1956
8951,"FRASER, Dawn",AUS,Silver,1956
8952,"ABERNETHY, Moira",RSA,Bronze,1956
8953,"MYBURGH, Jeanette Evelyn",RSA,Bronze,1956
8954,"MYBURGH, Natalie Ann",RSA,Bronze,1956
8955,"ROBERTS, Susan Elizabeth",RSA,Bronze,1956
8956,"CRAPP, Lorraine Joyce",AUS,Gold,1956
8957,"FRASER, Dawn",AUS,Gold,1956
8958,"LEECH, Faith Yvonne",AUS,Gold,1956
8959,"MORGAN, Sandra Anne",AUS,Gold,1956
8960,"ALDERSON-ROSAZZA, Joan Ann",USA,Silver,1956
8961,"MANN, Shelley Isabel",USA,Silver,1956
8962,"RUUSKA, Sylvia Eliina",USA,Silver,1956
8963,"SIMONS, Nancy Joan",USA,Silver,1956
8964,"NIKITIN, Boris",URS,Bronze,1956
8965,"NIKOLAEV, Gennadi",URS,Bronze,1956
8966,"SOROKIN, Vitali",URS,Bronze,1956
8967,"STRUZHANOV, Vladimir",URS,Bronze,1956
8968,"DEVITT, John",AUS,Gold,1956
8969,"HENRICKS, Jon Malcolm",AUS,Gold,1956
8970,"O'HALLORAN, Kevin",AUS,Gold,1956
8971,"ROSE, Murray",AUS,Gold,1956
8972,"BREEN, George Thomas",USA,Silver,1956
8973,"HANLEY, Richard Dennis",USA,Silver,1956
8974,"KONNO, Ford Hiroshi",USA,Silver,1956
8975,"WOOLSEY, William Tripp",USA,Silver,1956
8976,"AGEEV, Viktor",URS,Bronze,1956
8977,"BREUS, Pyotr",URS,Bronze,1956
8978,"GOIKHMAN, Boris",URS,Bronze,1956
8979,"GVAKHARIYA, Nodar",URS,Bronze,1956
8980,"KURENNOI, Vyacheslav",URS,Bronze,1956
8981,"MARKAROV, Boris",URS,Bronze,1956
8982,"MSHVENIERADZE, Pyotr",URS,Bronze,1956
8983,"PROKOPOV, Valentin",URS,Bronze,1956
8984,"RYZHAK, Mikhail",URS,Bronze,1956
8985,"SHLYAPIN, Yuri",URS,Bronze,1956
8986,"BOLVARI, Antal",HUN,Gold,1956
8987,"BOROS, Otto",HUN,Gold,1956
8988,"GYARMATI, Dezso",HUN,Gold,1956
8989,"HEVESI, Istvan",HUN,Gold,1956
8990,"JENEI, Laszlo",HUN,Gold,1956
8991,"KANIZSA, Tivadar",HUN,Gold,1956
8992,"KARPATI, György",HUN,Gold,1956
8993,"MARKOVICS, Kalman",HUN,Gold,1956
8994,"MAYER, Mihaly",HUN,Gold,1956
8995,"SZIVOS, Istvan",HUN,Gold,1956
8996,"ZADOR, Ervin",HUN,Gold,1956
8997,"CIPCI, Ivo",YUG,Silver,1956
8998,"FRANJKOVIC, Tomislav",YUG,Silver,1956
8999,"IVKOVIC, Vladimir",YUG,Silver,1956
9000,"JEZIC, Zdravko",YUG,Silver,1956
9001,"KACIC, Horivoje",YUG,Silver,1956
9002,"KOVACIC, Zdravko",YUG,Silver,1956
9003,"RADONIC, Lovro",YUG,Silver,1956
9004,"ZUZEJ, Marjan",YUG,Silver,1956
9005,"LAWRENCE, Allan",AUS,Bronze,1956
9006,"KUTS, Vladimir",URS,Gold,1956
9007,"KOVACS, Jozsef",HUN,Silver,1956
9008,"HOGAN, Hector",AUS,Bronze,1956
9009,"MORROW, Robert Joseph",USA,Gold,1956
9010,"BAKER, Walter Thane",USA,Silver,1956
9011,"MATHEWS-O'SHEA, Marlene Judith",AUS,Bronze,1956
9012,"CUTHBERT, Betty",AUS,Gold,1956
9013,"STUBNICK, Christa",EUA,Silver,1956
9014,"SHANKLE, Joel",USA,Bronze,1956
9015,"CALHOUN, Lee",USA,Gold,1956
9016,"DAVIS, Jack",USA,Silver,1956
9017,"LANDY, John",AUS,Bronze,1956
9018,"DELANY, Ronald Michael",IRL,Gold,1956
9019,"RICHTZENHAIN, Klaus",EUA,Silver,1956
9020,"BAKER, Walter Thane",USA,Bronze,1956
9021,"MORROW, Robert Joseph",USA,Gold,1956
9022,"STANFIELD, Andrew William",USA,Silver,1956
9023,"MATHEWS-O'SHEA, Marlene Judith",AUS,Bronze,1956
