date,return
2019-02-07,1.6464973366410107
2019-02-06,1.6037215755991563
2019-02-05,1.1309182690549031
2019-02-04,-1.5372465803799107
2019-02-01,-0.4334755802633871
2019-01-31,5.688002312096075
2019-01-30,-2.810214518859853
2019-01-29,-4.5826523709464
2019-01-28,2.7611865385097984
2019-01-25,1.995249986262804
2019-01-24,-0.9362074022638904
2019-01-23,-0.9009444508226984
2019-01-22,-0.4786526993573194
2019-01-18,3.922998217097482
2019-01-17,-0.17568682938332852
2019-01-16,-0.5575176291326617
2019-01-15,-0.5475774744919186
2019-01-14,-3.424780240779662
2019-01-11,1.4438446460261751
2019-01-10,0.9545521041595604
2019-01-09,0.19321104684160592
2019-01-08,-0.1711441346976742
2019-01-07,-1.634089509712778
2019-01-04,-3.3212438094887347
2019-01-03,-4.767708313496984
2019-01-02,2.5895166235636107
2018-12-31,-2.414350964505928
2018-12-28,-1.5945724615005656
2018-12-27,-1.1082394013612726
2018-12-26,0.6335349333625236
2018-12-24,-8.630090420830786
2018-12-21,2.491889639572607
2018-12-20,6.053214272750362
2018-12-19,2.3445575460525867
2018-12-18,3.7723733847018286
2018-12-17,-1.9703766725964844
2018-12-14,4.6682578193318465
2018-12-13,4.175487307699558
2018-12-12,0.31114702299833896
2018-12-11,-1.2202892626567414
2018-12-10,-0.13449039702052265
2018-12-07,-0.7251543238088191
2018-12-06,4.3004548439964845
2018-12-04,-1.8120398542835088
2018-12-03,6.231119635578986
2018-11-30,-4.637319731882903
2018-11-29,-0.9821497245839256
2018-11-28,0.24976547141739294
2018-11-27,-5.741618238712557
2018-11-26,-0.005691087756582408
2018-11-23,-5.012868914141891
2018-11-21,0.9766587220217616
2018-11-20,-1.4023590223704931
2018-11-19,1.1254062295213465
2018-11-16,5.364050545860922
2018-11-15,1.6336034040203067
2018-11-14,-1.2615472015017577
2018-11-13,2.0112444575080883
2018-11-12,0.3482163109914868
2018-11-09,4.617405382289163
2018-11-08,2.4806853418825887
2018-11-07,0.03305012792678412
2018-11-06,-6.418720699064082
2018-11-05,-0.9136783925103932
2018-11-02,2.317852316009339
2018-11-01,0.0
2018-10-31,-4.053964803996324
2018-10-30,-4.229635609289049
2018-10-29,0.5527894303524546
2018-10-26,6.753613017259294
2018-10-25,8.483026034660133
2018-10-24,-6.6194583008355
2018-10-23,6.279293354164162
2018-10-22,1.1646972352575289
2018-10-19,-1.4122841334600114
2018-10-18,0.3792452509311097
2018-10-17,3.445491099665672
2018-10-16,-0.6425619496323138
2018-10-15,-3.2423789533835903
2018-10-12,1.5707430648229566
2018-10-11,-3.871721616227127
2018-10-10,2.087404615670953
2018-10-09,6.55576128756587
2018-10-08,-0.3154540399503756
2018-10-05,1.3532358588730016
2018-10-04,1.0462254914931326
2018-10-03,2.269799206041621
2018-10-02,0.9499375243245436
2018-10-01,1.6765501113472745
2018-09-28,-0.0678520824602317
2018-09-27,0.4982526210683984
2018-09-26,-1.894206599171383
2018-09-25,-0.01519102716661795
2018-09-24,-2.0354004709933937
2018-09-21,-1.00033085878533
2018-09-20,1.5294959295251704
2018-09-19,-0.9196111711155626
2018-09-18,0.7594397898692851
2018-09-17,-1.7011411349527308
2018-09-14,3.2578104117859823
2018-09-13,0.9988884320801464
2018-09-12,0.006533090101368891
2018-09-11,-0.14321608040200548
2018-09-10,-2.4225649799964817
2018-09-07,0.6735395897906635
2018-09-06,0.3196606679063768
2018-09-05,1.8643626392144244
2018-09-04,2.24030238317242
2018-08-31,-1.31404111771945
2018-08-30,-0.5132383701576445
2018-08-29,-0.2137456426852146
2018-08-28,-3.2671037485611323
2018-08-27,-0.2659326786767455
2018-08-24,-1.1563122509960142
2018-08-23,-0.13068190764095586
2018-08-22,0.10510273792632296
2018-08-21,-1.1276182476770444
2018-08-20,-0.3562667912627049
2018-08-17,0.2935989044657933
2018-08-16,0.2284536345379368
2018-08-15,-0.2067298517906034
2018-08-14,1.966939690431431
2018-08-13,-1.2215768499466069
2018-08-10,-0.5220968252294109
2018-08-09,0.6478290833907665
2018-08-08,-0.632071297642374
2018-08-07,-1.2743040094989695
2018-08-06,-0.7908809759030979
2018-08-03,-1.323772155324045
2018-08-02,0.6054988509781748
2018-08-01,-2.025807788129718
2018-07-31,-1.0978371550827144
2018-07-30,0.10014402736519784
2018-07-27,2.138577578939083
2018-07-26,-0.51010581806776
2018-07-25,3.0757743362831804
2018-07-24,-1.8442699921120775
2018-07-23,-1.4891430320788968
2018-07-20,0.6492785793562733
2018-07-19,-0.04024921431328325
2018-07-18,1.6519854161955267
2018-07-17,0.05480433225533343
2018-07-16,-1.1627339432624912
2018-07-13,-0.5190700634845753
2018-07-12,-0.9051146423390724
2018-07-11,-2.3165722300764706
2018-07-10,-0.6797720797720834
2018-07-09,-0.2323486721703635
2018-07-06,-1.6325286655702562
2018-07-05,-0.637192145583796
2018-07-03,-0.3394656798432681
2018-07-02,1.1700394342251257
2018-06-29,-0.8157406434898306
2018-06-28,0.09707024355807099
2018-06-27,-2.406182961591586
2018-06-26,1.8416028810425669
2018-06-25,-1.65218882495904
2018-06-22,3.1578630911222674
2018-06-21,0.8480651873612032
2018-06-20,1.1478309116759657
2018-06-19,-0.8742457487657682
2018-06-18,-0.6335097245760275
2018-06-15,-0.4536515468821571
2018-06-14,0.4597982482211154
2018-06-13,-1.1021776710405715
2018-06-12,-0.35838719894888144
2018-06-11,-0.5668874172185495
2018-06-08,-0.30370843989769125
2018-06-07,0.3153225375447565
2018-06-06,0.3818149529390899
2018-06-05,0.035382574082259116
2018-06-04,-1.8321690688831864
