,0,1
0,a1504272600,8.29
1,1,8.27
2,2,8.28
3,3,8.275
4,4,8.2875
5,5,8.28
6,6,8.26
7,7,8.259
8,8,8.2563
9,9,8.255
10,10,8.26
11,11,8.26
12,12,8.26
13,13,8.27
14,15,8.27
15,16,8.27
16,17,8.27
17,18,8.27
18,19,8.27
19,20,8.275
20,21,8.27
21,22,8.27
22,23,8.25
23,24,8.25
24,25,8.25
25,26,8.249
26,27,8.25
27,28,8.2443
28,29,8.25
29,30,8.25
30,31,8.24
31,32,8.24
32,33,8.225
33,34,8.22
34,35,8.209
35,36,8.21
36,37,8.2085
37,38,8.205
38,39,8.205
39,40,8.21
40,41,8.225
41,42,8.23
42,43,8.23
43,44,8.23
44,45,8.23
45,46,8.23
46,47,8.22
47,48,8.23
48,49,8.23
49,50,8.23
50,51,8.22
51,52,8.22
52,53,8.23
53,54,8.23
54,55,8.24
55,56,8.25
56,57,8.245
57,58,8.245
58,59,8.25
59,60,8.25
60,61,8.25
61,62,8.255
62,63,8.255
63,64,8.25
64,65,8.25
65,66,8.2414
66,67,8.26
67,68,8.2575
68,69,8.255
69,70,8.25
70,71,8.255
71,72,8.25
72,73,8.2511
73,74,8.25
74,75,8.255
75,76,8.256
76,77,8.25
77,78,8.2538
78,79,8.255
79,80,8.25
80,81,8.26
81,82,8.25
82,83,8.25
83,84,8.2547
84,85,8.25
85,86,8.25
86,87,8.255
87,88,8.255
88,89,8.255
89,90,8.26
90,91,8.25
91,92,8.25
92,93,8.25
93,94,8.245
94,95,8.245
95,96,8.245
96,97,8.245
97,98,8.245
98,99,8.245
99,100,8.255
100,101,8.255
101,102,8.25
102,103,8.245
103,104,8.24
104,105,8.2359
105,106,8.235
106,107,8.235
107,108,8.235
108,109,8.235
109,110,8.255
110,111,8.2548
111,112,8.25
112,113,8.255
113,114,8.255
114,115,8.255
115,116,8.255
116,117,8.255
117,118,8.25
118,119,8.25
119,120,8.255
120,121,8.245
121,122,8.245
122,123,8.245
123,124,8.245
124,125,8.245
125,126,8.245
126,127,8.245
127,128,8.245
128,129,8.245
129,130,8.245
130,131,8.24
131,132,8.245
132,133,8.245
133,134,8.245
134,135,8.2498
135,136,8.245
136,137,8.245
137,138,8.24
138,139,8.23
139,140,8.23
140,141,8.23
141,142,8.23
142,143,8.23
143,144,8.235
144,145,8.26
145,146,8.26
146,147,8.26
147,148,8.26
148,149,8.2564
149,150,8.255
150,151,8.255
151,152,8.255
152,153,8.255
153,154,8.255
154,155,8.25
155,156,8.25
156,157,8.245
157,158,8.25
158,159,8.25
159,160,8.25
160,161,8.25
161,162,8.2553
162,163,8.25
163,164,8.25
164,165,8.25
165,166,8.255
166,167,8.25
167,168,8.25
168,169,8.25
169,170,8.25
170,171,8.25
171,172,8.25
172,173,8.25
173,174,8.25
174,175,8.25
175,176,8.265
176,177,8.26
177,178,8.255
178,179,8.26
179,180,8.27
180,181,8.27
181,183,8.275
182,184,8.271
183,185,8.275
184,186,8.271
185,187,8.27
186,188,8.275
187,189,8.276
188,190,8.2751
189,191,8.27
190,192,8.27
191,193,8.27
192,194,8.279
193,195,8.275
194,196,8.285
195,197,8.285
196,198,8.285
197,199,8.285
198,200,8.285
199,201,8.285
200,202,8.27
201,203,8.27
202,204,8.27
203,205,8.27
204,206,8.285
205,207,8.285
206,208,8.29
207,209,8.3
208,210,8.29
209,211,8.295
210,212,8.3
211,213,8.3
212,214,8.3
213,215,8.295
214,216,8.295
215,217,8.29
216,218,8.29
217,219,8.295
218,220,8.295
219,221,8.29
220,222,8.29
221,223,8.29
222,224,8.2915
223,225,8.295
224,226,8.3
225,227,8.3
226,228,8.295
227,229,8.295
228,230,8.295
229,231,8.3
230,232,8.3
231,233,8.295
232,234,8.3
233,235,8.295
234,236,8.3
235,237,8.3
236,238,8.31
237,239,8.31
238,240,8.31
239,241,8.31
240,242,8.305
241,243,8.3
242,244,8.3
243,245,8.3
244,246,8.3
245,247,8.295
246,248,8.295
247,249,8.3
248,250,8.31
249,251,8.305
250,252,8.31
251,253,8.31
252,254,8.305
