,Date,Day,status_country,counts
118,3/26/2014,4,Cases_Guinea,86.0
119,3/25/2014,3,Cases_Guinea,86.0
120,3/24/2014,2,Cases_Guinea,86.0
121,3/22/2014,0,Cases_Guinea,49.0
122,1/5/2015,289,Cases_Liberia,
123,1/4/2015,288,Cases_Liberia,
124,1/3/2015,287,Cases_Liberia,8166.0
125,1/2/2015,286,Cases_Liberia,8157.0
126,12/31/2014,284,Cases_Liberia,8115.0
127,12/28/2014,281,Cases_Liberia,8018.0
128,12/27/2014,280,Cases_Liberia,
129,12/24/2014,277,Cases_Liberia,7977.0
130,12/21/2014,273,Cases_Liberia,
131,12/20/2014,272,Cases_Liberia,7862.0
132,12/18/2014,271,Cases_Liberia,7830.0
133,12/14/2014,267,Cases_Liberia,
134,12/9/2014,262,Cases_Liberia,7797.0
135,12/7/2014,260,Cases_Liberia,
136,12/3/2014,256,Cases_Liberia,7719.0
137,11/30/2014,253,Cases_Liberia,
138,11/28/2014,251,Cases_Liberia,7635.0
139,11/23/2014,246,Cases_Liberia,
140,11/22/2014,245,Cases_Liberia,7168.0
141,11/18/2014,241,Cases_Liberia,7082.0
142,11/16/2014,239,Cases_Liberia,
143,11/15/2014,238,Cases_Liberia,7069.0
144,11/11/2014,234,Cases_Liberia,
145,11/10/2014,233,Cases_Liberia,6878.0
146,11/9/2014,232,Cases_Liberia,
147,11/8/2014,231,Cases_Liberia,6822.0
148,11/4/2014,227,Cases_Liberia,6619.0
149,11/3/2014,226,Cases_Liberia,
150,11/2/2014,225,Cases_Liberia,
151,10/31/2014,222,Cases_Liberia,6525.0
152,10/29/2014,220,Cases_Liberia,
153,10/27/2014,218,Cases_Liberia,
154,10/25/2014,216,Cases_Liberia,6535.0
155,10/22/2014,214,Cases_Liberia,
156,10/21/2014,213,Cases_Liberia,
157,10/19/2014,211,Cases_Liberia,
158,10/18/2014,210,Cases_Liberia,4665.0
159,10/14/2014,206,Cases_Liberia,
160,10/13/2014,205,Cases_Liberia,4262.0
161,10/12/2014,204,Cases_Liberia,
162,10/11/2014,203,Cases_Liberia,4249.0
163,10/8/2014,200,Cases_Liberia,
164,10/7/2014,199,Cases_Liberia,4076.0
165,10/5/2014,197,Cases_Liberia,
166,10/4/2014,196,Cases_Liberia,3924.0
167,10/1/2014,193,Cases_Liberia,3834.0
168,9/28/2014,190,Cases_Liberia,3696.0
169,9/23/2014,185,Cases_Liberia,3458.0
170,9/21/2014,183,Cases_Liberia,3280.0
171,9/20/2014,182,Cases_Liberia,
172,9/19/2014,181,Cases_Liberia,
173,9/17/2014,179,Cases_Liberia,3022.0
174,9/14/2014,176,Cases_Liberia,2710.0
175,9/13/2014,175,Cases_Liberia,
176,9/10/2014,172,Cases_Liberia,
177,9/9/2014,171,Cases_Liberia,2407.0
178,9/7/2014,169,Cases_Liberia,2081.0
179,9/5/2014,167,Cases_Liberia,1871.0
180,8/31/2014,162,Cases_Liberia,1698.0
181,8/26/2014,157,Cases_Liberia,1378.0
